carat,cut,color,clarity,depth,table,price
0.3,4,6,3,61.3,60.0,675
2.01,5,2,5,62.5,56.0,17523
0.53,4,7,3,60.0,58.0,1631
0.28,3,5,4,62.7,58.0,487
0.65,5,7,4,61.6,57.0,2402
0.72,5,4,3,62.0,56.0,2318
0.3,3,6,4,61.8,58.0,658
0.34,4,3,7,61.2,58.0,672
0.4,4,5,5,62.6,58.0,982
0.56,3,4,4,63.4,58.0,1590
0.3,3,2,3,60.5,62.0,394
1.54,5,4,4,60.2,59.0,13508
0.32,5,6,3,61.8,55.0,720
0.32,5,7,3,61.9,57.0,589
1.02,4,5,3,62.9,55.0,5484
1.19,4,2,3,62.1,59.0,5664
0.73,5,7,4,61.9,56.0,3255
0.5,4,5,2,59.9,60.0,1125
0.85,3,7,4,61.8,56.0,4211
0.3,3,4,6,62.7,56.0,684
1.01,2,4,3,63.6,58.0,4195
0.58,3,6,7,59.4,63.0,2568
0.52,5,7,6,61.5,55.0,3284
0.9,2,5,4,62.8,58.0,4778
1.2,3,2,3,62.9,57.0,5211
0.74,5,2,4,61.5,57.0,2459
0.42,5,5,2,62.1,56.0,663
0.7,3,7,5,63.1,59.0,2755
0.7,3,6,2,62.0,59.0,2263
0.73,4,3,2,58.7,58.0,1927
0.34,2,3,5,63.1,57.0,596
0.42,5,4,2,60.9,56.0,971
0.41,4,6,3,62.4,58.0,755
1.12,4,4,5,62.2,59.0,7827
0.32,3,4,4,61.9,56.0,576
1.51,2,5,3,64.2,57.0,10514
2.0,4,4,2,62.9,58.0,13420
0.54,5,3,7,61.8,55.0,1944
0.97,5,4,2,61.6,56.0,4743
1.5,4,5,6,58.8,58.0,17203
1.16,3,2,3,62.7,57.0,4785
1.14,3,6,5,63.1,59.0,8315
1.24,4,5,3,62.6,59.0,6125
1.6,5,2,3,62.4,53.5,9407
0.55,5,2,5,62.5,57.0,1297
0.32,4,4,6,61.6,60.0,730
0.51,5,6,2,62.7,53.0,1177
0.58,5,3,3,60.2,57.0,1421
1.03,5,6,2,62.5,56.0,4522
0.86,2,7,7,64.3,53.0,5029
0.3,4,3,4,62.3,58.0,473
0.5,3,4,3,62.1,59.0,1237
0.7,2,4,2,64.1,56.0,1935
1.07,4,5,4,61.6,60.0,5974
0.5,5,4,6,62.8,57.0,1935
0.56,5,5,4,62.7,55.0,2318
0.3,5,4,8,60.9,57.0,863
0.29,5,4,7,62.3,55.0,607
1.03,5,6,4,61.7,56.0,7533
0.7,4,4,4,62.2,61.0,2657
1.52,3,4,2,60.9,57.0,8151
0.3,5,4,8,61.7,55.0,956
1.44,3,3,2,58.2,61.0,7128
1.23,4,1,4,58.0,61.0,4338
1.5,3,3,4,61.5,57.0,8936
0.31,5,6,6,61.6,55.0,816
1.02,4,4,5,61.0,61.0,7129
0.4,5,5,6,61.7,55.0,1088
0.4,3,6,3,63.0,57.0,725
0.76,3,3,3,61.6,58.0,2663
1.01,3,6,2,62.2,58.0,4575
0.43,2,7,4,59.9,61.0,976
1.52,5,3,4,61.9,55.0,11379
0.41,4,5,4,61.3,58.0,863
0.9,3,2,3,61.8,58.0,3176
0.31,4,6,6,60.4,59.0,816
0.68,2,5,3,61.2,61.0,1924
0.58,3,6,4,60.3,57.0,1608
0.34,3,2,3,61.8,57.0,447
2.12,5,2,4,62.7,56.0,17068
0.42,5,7,6,61.7,57.0,1132
1.01,4,4,3,63.0,59.0,4338
0.3,5,6,6,61.5,58.0,766
0.31,5,5,4,61.6,55.0,802
0.7,4,3,3,61.1,58.0,1948
1.04,1,4,2,65.2,57.0,2745
0.91,5,7,3,62.1,55.0,5535
0.31,5,5,5,61.6,56.0,695
0.3,5,4,5,61.9,56.0,776
1.5,4,3,4,60.8,59.0,10291
1.0,4,3,2,58.6,59.0,4088
0.32,5,3,6,61.2,56.0,828
0.7,2,5,2,64.1,59.0,2390
1.01,3,3,3,63.1,59.0,4836
1.0,3,3,4,63.3,60.0,4514
1.03,3,4,4,61.0,58.0,6931
1.01,4,4,2,62.1,61.0,4038
0.7,3,6,2,60.4,59.0,2453
0.71,5,6,2,61.9,56.0,2458
0.33,4,4,5,62.2,58.0,854
0.36,4,5,3,61.1,59.0,600
0.35,5,3,7,62.0,55.0,756
0.78,5,1,5,61.9,57.0,2365
1.51,5,3,3,61.9,57.0,7678
1.0,2,3,4,57.8,59.0,4166
1.21,5,3,2,62.1,55.0,5692
0.7,5,6,4,61.5,57.0,2980
0.82,5,5,2,61.7,53.0,2841
1.5,5,1,4,60.0,57.0,7503
0.31,4,5,4,62.4,58.0,802
1.21,3,2,3,62.9,56.0,5245
0.26,4,6,4,60.4,58.0,580
1.2,5,3,4,59.9,57.0,6487
1.21,2,6,3,63.6,58.0,6861
1.21,5,1,3,62.7,55.0,5489
0.5,4,6,4,61.3,60.0,1624
0.5,5,3,3,61.3,54.0,1666
0.23,3,5,5,60.9,57.0,357
1.01,5,5,2,62.4,56.0,3733
0.8,1,4,2,64.6,55.0,2318
1.03,4,6,5,62.4,58.0,7778
1.06,5,4,4,61.3,57.0,6809
1.11,2,3,3,64.2,58.0,4523
0.42,5,6,6,61.3,56.0,1273
0.6,3,3,5,60.2,60.0,1679
1.5,3,1,4,63.3,57.0,7428
0.3,4,3,4,61.1,61.0,608
0.9,4,7,5,61.2,58.0,6441
0.72,2,5,1,63.6,58.0,1166
1.5,3,6,5,59.5,61.0,16988
2.01,4,4,3,60.3,59.0,18741
0.51,3,5,8,59.4,60.0,2304
1.6,2,6,3,63.6,58.0,12581
2.0,1,5,1,64.9,57.0,7258
1.2,3,4,2,62.0,60.0,5698
0.31,1,6,4,54.2,63.0,814
0.93,3,3,4,62.8,59.0,4351
0.3,3,6,8,62.8,54.0,930
0.5,4,7,4,61.1,58.0,1752
1.52,5,5,5,62.2,55.0,16055
0.32,3,6,4,60.5,58.0,561
0.57,4,5,4,62.0,54.0,1760
0.31,3,4,2,61.8,59.0,408
0.3,4,6,6,61.4,59.0,789
0.42,4,7,3,62.1,59.0,1040
0.33,5,7,4,62.3,57.0,1002
1.21,5,3,5,60.5,57.0,7047
1.07,5,4,5,61.8,55.0,7198
0.4,5,3,6,62.4,57.0,877
1.06,3,3,4,60.7,59.0,5415
0.29,2,5,8,56.8,65.0,633
0.5,4,3,5,62.7,59.0,1253
0.92,5,3,5,60.9,57.0,4328
2.07,4,1,4,61.5,59.0,13800
0.5,5,4,8,60.8,54.0,2287
0.9,4,5,2,61.6,58.0,3457
0.7,5,4,4,61.5,57.0,3253
1.95,4,3,1,60.3,59.0,5045
0.7,5,2,3,62.1,58.0,2083
0.41,5,4,7,62.1,55.0,1230
0.41,3,5,3,61.9,55.0,769
2.06,4,2,3,60.8,60.0,15494
0.32,3,5,6,61.8,60.0,786
0.31,2,7,3,63.7,54.0,732
0.52,5,7,2,61.0,56.0,1158
0.9,5,5,3,60.7,57.0,4401
1.0,4,6,4,62.9,59.0,6359
1.7,4,2,4,61.2,59.0,11360
1.15,3,2,2,62.0,58.0,4405
2.43,4,2,2,62.2,60.0,14727
1.04,5,3,3,62.5,57.0,4648
2.1,5,2,3,61.6,57.0,12168
0.3,5,2,4,62.1,58.0,389
1.01,4,7,4,59.2,56.0,6108
0.43,4,4,7,62.2,58.0,1207
1.55,5,2,7,62.1,56.0,11869
0.99,3,7,2,62.5,57.0,4993
1.0,3,5,4,61.1,60.0,7343
1.23,3,4,3,63.1,56.0,6665
0.53,5,3,5,61.8,56.0,1678
0.5,5,6,3,61.9,60.0,1337
1.02,3,2,2,63.4,57.0,3769
2.1,2,3,3,63.7,61.0,12121
1.0,1,4,5,64.4,56.0,5908
1.0,2,6,3,57.5,62.0,5051
1.22,4,3,3,62.4,58.0,5997
0.32,4,4,4,60.7,58.0,561
0.3,5,4,6,62.0,57.0,684
0.32,2,7,3,63.6,56.0,589
0.34,4,3,3,60.2,58.0,477
0.41,4,6,2,62.1,58.0,683
1.0,5,6,4,62.8,57.0,6720
0.72,4,7,2,61.3,59.0,2155
0.71,4,5,5,61.1,58.0,2942
0.3,4,7,4,61.9,58.0,911
0.73,5,6,2,62.8,55.0,2431
0.33,5,6,4,62.1,56.0,723
0.73,4,5,5,60.7,61.0,3211
0.42,5,4,5,61.4,56.0,984
0.3,5,3,6,62.8,57.0,776
1.73,4,5,2,61.5,60.0,9494
0.9,5,5,2,62.4,55.0,4593
2.0,4,1,4,61.5,59.0,13552
0.33,4,6,4,61.7,60.0,723
1.28,5,1,3,61.2,57.0,4967
0.81,5,5,5,61.5,55.0,3933
0.3,5,3,8,61.8,55.0,789
1.23,5,4,5,61.4,56.0,8970
1.54,5,2,5,61.5,56.0,11651
1.5,3,2,5,60.4,59.0,9759
0.3,5,4,6,62.7,57.0,684
0.5,3,4,3,63.3,59.0,1187
0.34,4,5,4,61.2,59.0,686
1.41,4,6,5,58.8,59.0,12671
0.74,5,5,4,62.1,56.0,3200
1.03,4,4,3,59.5,60.0,5791
0.4,5,3,7,62.2,55.0,1088
1.53,5,2,2,63.7,58.0,8062
0.41,5,5,5,61.9,55.0,1076
0.44,5,4,7,61.3,55.0,1143
1.21,5,7,3,63.0,57.0,7589
0.31,2,2,5,63.7,55.0,489
1.0,5,4,5,62.5,54.0,7223
1.01,3,5,3,61.3,59.0,4969
0.3,5,4,4,61.2,55.0,545
0.71,3,2,6,62.5,57.0,2495
0.32,5,4,5,60.7,56.0,602
1.32,5,2,2,61.7,55.0,5721
1.11,5,2,3,61.9,55.0,5329
0.71,4,6,3,62.2,58.0,2743
0.6,4,4,3,61.8,60.0,1646
0.56,5,5,3,61.5,55.0,1334
1.06,5,5,2,61.8,56.0,5354
0.33,3,3,6,61.6,56.0,614
0.7,1,4,5,68.5,58.0,2250
0.7,5,2,5,61.8,55.0,2469
1.05,3,3,3,63.2,56.0,5027
1.16,5,1,3,60.7,57.0,3955
1.28,5,5,6,62.2,56.0,12958
1.0,3,2,3,63.2,56.0,4088
1.06,5,5,3,62.1,57.0,5655
0.31,5,4,8,60.5,61.0,853
1.5,3,3,2,62.0,63.0,7291
0.32,5,5,6,61.2,57.0,786
0.25,5,2,7,61.9,55.0,421
0.51,5,6,4,62.4,57.0,1781
0.72,2,5,4,63.5,55.0,2700
1.51,2,7,2,61.5,61.0,8742
0.9,5,3,5,62.0,56.0,4234
1.0,3,5,2,62.6,58.0,4081
0.42,5,3,5,62.4,57.0,1087
1.17,5,1,5,62.5,57.0,5242
0.39,5,6,5,60.8,56.0,914
0.3,4,3,3,59.5,62.0,540
0.5,5,3,3,61.9,56.0,1446
0.28,3,3,4,59.7,60.0,394
1.14,4,7,2,60.3,58.0,4972
0.3,5,5,6,61.1,57.0,736
1.0,3,4,4,63.0,59.0,5702
0.57,3,7,3,61.1,56.0,1754
2.1,4,6,2,62.9,59.0,16783
0.5,2,7,3,63.9,56.0,1210
1.03,5,4,2,61.8,55.0,4873
0.32,5,4,5,61.8,55.0,828
0.32,5,4,5,62.3,56.0,828
0.36,3,4,8,60.4,62.0,1002
1.31,2,4,2,63.8,56.0,4864
0.71,5,3,5,62.1,55.0,2209
1.0,3,4,8,58.3,62.0,8002
0.4,3,4,2,61.9,61.0,596
0.32,5,4,6,62.0,56.0,708
0.44,2,7,3,58.8,62.0,777
2.1,5,3,3,62.9,57.0,18648
0.53,3,5,3,60.9,56.0,1291
1.14,4,3,2,60.6,59.0,4702
0.59,4,2,8,61.2,58.0,1965
1.52,4,4,6,62.1,58.0,14105
0.6,3,3,4,64.2,57.0,1597
1.24,5,5,4,61.6,54.0,9569
0.32,5,2,4,62.3,55.0,466
0.3,5,4,3,62.0,57.0,432
1.52,3,4,3,62.4,60.0,11014
1.0,3,3,2,60.8,60.0,4496
0.9,2,7,3,63.6,63.0,3689
0.3,5,5,4,61.8,56.0,776
1.24,4,4,6,59.9,60.0,10202
1.04,5,6,3,62.0,57.0,4530
0.7,2,4,4,64.3,56.0,2488
2.0,5,1,3,62.4,54.0,12433
0.46,3,3,7,62.0,56.0,1572
0.3,5,4,3,61.8,56.0,487
1.0,3,6,6,59.1,58.0,9815
0.31,5,6,7,62.3,57.0,936
0.5,4,6,4,61.8,58.0,1746
1.04,4,7,5,60.5,59.0,8532
0.43,4,4,8,61.1,58.0,1433
1.0,4,6,3,61.0,61.0,4805
0.71,4,6,3,60.8,60.0,2629
0.7,4,6,7,61.7,59.0,3294
1.21,5,1,4,62.6,54.2,5275
0.54,4,2,2,61.2,60.0,1013
0.45,3,4,6,61.4,61.0,1105
0.41,5,6,6,60.5,57.0,1363
0.8,4,1,3,60.1,57.0,2227
0.23,5,4,7,60.8,57.0,536
0.41,2,2,6,63.9,55.0,827
1.53,4,3,5,60.8,59.0,11413
0.7,2,3,3,64.2,58.0,1771
0.7,1,4,1,62.5,59.0,1069
1.08,4,3,4,62.9,55.0,5775
0.44,5,6,6,60.9,57.0,1334
1.35,5,4,5,60.9,54.0,10471
0.71,2,7,5,63.4,55.0,2816
1.51,5,5,3,62.8,57.0,12545
1.51,5,3,5,62.6,56.0,11580
2.03,4,5,3,61.3,59.0,17803
0.41,4,4,4,61.4,59.0,1061
0.34,4,7,6,60.1,58.0,1052
2.01,5,1,3,62.3,57.0,12607
0.33,5,3,4,60.7,57.0,668
0.52,4,2,7,63.0,58.0,1619
0.3,3,4,4,63.1,56.0,675
0.42,5,5,5,60.9,57.0,1031
1.62,5,3,2,61.8,54.0,8865
0.3,5,4,7,62.2,57.0,764
0.29,3,4,6,61.9,56.0,541
1.03,4,5,5,61.7,56.0,6783
0.9,3,3,5,61.5,59.0,4136
1.14,5,4,5,62.3,56.0,7948
0.5,3,6,4,60.9,58.0,1605
0.3,3,6,2,61.9,58.0,421
3.01,4,2,2,60.2,59.0,18242
1.18,4,7,2,61.8,58.0,4211
0.32,5,7,4,61.5,56.0,972
0.59,3,7,3,63.1,61.0,1771
0.61,5,5,4,61.5,54.0,2306
1.15,5,3,5,62.7,57.0,7123
0.9,3,5,2,61.4,62.0,3770
0.51,3,1,4,58.0,62.0,1008
0.91,3,6,3,61.9,61.0,4211
0.9,3,5,3,63.6,58.0,3848
1.0,2,4,7,63.8,60.0,7007
0.41,2,5,6,63.6,56.0,996
1.02,4,4,4,61.5,59.0,5346
0.3,2,7,4,63.1,58.0,568
0.7,3,4,5,62.8,58.0,2613
0.25,3,6,6,60.9,59.0,575
0.3,5,3,6,61.7,54.0,776
0.33,4,7,3,60.0,59.0,780
0.58,5,6,4,61.6,55.0,2357
0.72,5,4,6,61.9,57.0,3849
1.0,5,4,3,62.2,57.0,4956
1.5,4,7,3,60.5,59.0,11489
1.51,3,1,1,63.3,57.0,4600
1.1,5,3,5,62.3,55.0,6586
0.9,5,3,2,62.3,57.0,3794
0.74,5,7,4,62.2,56.0,3454
1.53,5,3,5,61.3,57.0,12459
0.41,4,6,5,60.4,58.0,1153
0.3,5,3,6,60.4,56.0,776
0.71,3,6,3,63.2,57.0,2516
0.44,4,7,3,62.9,58.0,1089
0.32,5,6,7,62.2,55.0,827
1.41,2,7,2,63.9,60.0,7501
0.53,4,4,4,62.0,58.0,1607
1.23,4,5,2,61.2,58.0,6038
1.51,5,3,3,62.8,55.0,10502
1.51,3,2,5,61.1,61.0,10215
1.0,4,7,3,62.1,61.0,5488
0.31,5,4,3,62.2,55.0,462
0.84,5,2,5,62.3,59.0,3283
0.73,4,6,3,59.6,61.0,2821
0.81,5,6,4,61.5,57.0,3975
0.3,5,7,2,61.1,55.0,447
1.58,5,3,3,61.4,56.0,10546
1.01,2,6,2,63.3,58.0,4355
0.3,3,4,6,62.3,59.0,684
0.91,5,6,2,61.8,53.0,3723
1.52,5,3,5,62.3,55.0,11154
1.02,4,4,3,63.0,55.0,4718
0.27,5,2,5,62.1,54.0,432
0.38,3,7,3,58.9,61.0,733
0.3,5,6,7,60.5,57.0,956
0.73,5,5,3,61.7,55.0,3249
0.9,2,6,2,63.4,60.0,3401
0.56,3,4,5,59.9,60.0,1912
1.28,3,5,6,62.0,57.0,11602
0.52,5,7,4,61.6,55.0,1919
0.4,3,4,8,61.0,59.0,1154
1.01,2,7,2,63.8,61.0,3671
0.53,3,5,6,59.6,56.0,1880
0.32,3,5,3,62.7,57.0,533
0.4,4,3,5,62.6,58.0,807
1.52,2,6,1,57.3,58.0,3105
0.79,4,5,4,63.0,59.0,2953
0.26,3,4,5,61.9,56.0,418
0.3,5,4,3,61.8,56.0,477
1.01,5,6,3,61.6,57.0,5206
1.53,5,5,3,62.5,57.0,11525
1.34,4,3,3,62.4,57.0,6814
2.01,3,2,3,60.8,60.0,13849
0.52,3,3,5,63.5,58.0,1572
0.76,3,6,8,61.9,56.0,4798
1.21,2,3,3,58.2,58.0,6022
1.0,4,5,2,62.6,58.0,4155
0.3,5,4,7,62.1,58.0,753
0.3,2,2,8,63.3,56.0,631
0.32,5,7,3,60.9,56.0,589
0.3,5,3,6,61.6,55.0,605
0.41,4,4,4,62.6,59.0,827
0.39,4,7,4,61.3,58.0,958
0.72,5,6,3,60.3,55.0,3012
1.21,4,3,3,62.8,59.0,5793
1.13,4,3,1,62.7,59.0,3544
0.72,2,2,4,60.1,60.5,2174
0.43,4,4,3,62.6,59.0,724
0.7,3,5,2,63.4,58.0,1883
1.05,5,7,3,62.8,57.0,5914
0.38,5,3,4,62.4,56.0,660
0.41,5,4,6,61.7,55.0,1199
0.4,5,7,3,62.0,56.0,772
0.72,5,2,7,61.3,57.0,2654
0.52,5,4,3,62.4,55.0,1325
1.02,5,5,5,60.7,56.0,7091
0.3,3,4,4,60.6,61.0,526
1.22,2,3,2,63.5,56.0,6250
1.02,2,6,2,63.3,59.0,4398
0.59,5,4,4,62.6,54.0,1664
0.41,4,6,3,62.8,58.0,904
0.3,2,4,6,63.2,57.0,684
0.71,5,3,5,60.8,57.0,3229
0.56,5,7,4,60.9,56.0,1963
0.5,4,4,5,61.1,60.0,1629
0.32,3,5,4,61.4,58.0,556
0.77,4,4,4,61.3,57.0,2803
1.51,5,6,2,60.5,57.0,10935
0.32,5,5,4,62.2,55.0,828
1.51,5,2,4,62.6,56.0,9234
1.21,3,1,3,62.7,57.0,4312
0.31,5,5,4,61.3,57.0,802
0.71,3,1,4,62.1,58.0,1675
0.43,5,6,4,62.0,57.0,981
1.01,3,4,3,63.4,58.0,5051
1.22,5,6,6,63.0,55.0,12036
0.32,5,6,6,61.5,56.0,1010
0.81,4,6,3,60.8,59.0,3213
1.21,4,3,3,61.6,61.0,6505
0.41,3,5,7,62.1,56.0,1295
1.78,4,1,2,62.6,58.0,8889
0.41,3,6,5,60.4,59.0,906
0.5,4,7,2,58.5,60.0,1178
0.71,3,5,4,62.8,57.0,2777
1.01,2,1,5,63.2,62.0,3823
2.4,3,2,2,60.6,58.5,17955
0.3,4,3,6,63.0,56.0,776
0.79,3,4,2,63.4,60.0,1809
0.59,2,2,6,57.8,61.0,1427
0.74,3,6,6,61.9,59.0,3616
0.35,5,3,4,61.7,56.0,571
1.53,5,4,5,60.5,57.0,16311
1.52,4,3,6,63.0,60.0,12013
0.34,4,6,5,59.9,58.0,1033
0.39,5,6,5,60.2,56.0,876
0.3,4,2,5,61.7,59.0,608
1.5,3,2,3,61.4,62.0,7722
1.12,5,4,2,62.4,56.0,4712
0.31,3,6,4,61.7,58.0,680
0.52,5,7,4,60.3,56.0,1677
0.24,3,5,4,59.6,58.0,419
1.01,4,3,1,60.1,58.0,2520
0.34,5,3,7,62.0,54.0,995
1.12,4,6,2,63.0,61.0,4215
0.31,5,6,6,61.6,56.0,1074
1.71,2,1,2,63.9,59.0,7508
1.24,5,5,5,61.5,54.0,10138
0.78,3,5,2,63.0,57.0,2515
0.32,3,4,5,61.8,60.0,645
0.71,3,2,7,63.5,57.0,2456
1.01,2,6,3,63.1,60.0,4912
0.72,3,1,4,63.2,60.0,1814
0.9,4,5,2,60.7,59.0,3553
1.27,5,5,6,62.2,54.0,12576
0.81,4,2,2,61.5,60.0,1786
0.41,5,5,8,61.9,56.0,1439
0.51,3,7,3,60.4,61.0,1425
1.04,5,4,4,59.4,58.0,6286
0.3,4,2,5,59.1,59.0,608
1.42,5,2,3,61.9,57.0,7157
0.92,3,5,2,59.9,60.0,3625
0.9,4,5,3,61.4,55.0,4435
0.7,4,6,4,60.9,59.0,2673
0.91,3,5,3,62.2,57.0,4108
0.36,5,5,4,61.0,56.0,759
0.7,4,4,3,61.2,60.0,2042
1.1,3,6,2,60.9,60.0,4539
0.32,5,6,4,62.2,55.0,900
0.54,5,4,7,62.0,57.0,2030
1.0,5,6,4,62.0,56.0,6261
0.4,5,5,6,61.7,56.0,1163
0.52,5,5,7,61.2,56.0,2867
0.51,4,7,3,62.2,58.0,1619
1.0,3,3,3,62.2,60.0,4389
0.73,5,5,4,62.7,53.0,2762
0.31,5,3,7,60.8,55.0,942
0.32,5,4,4,61.5,57.0,720
0.33,3,4,6,60.0,63.0,965
2.0,5,2,3,61.4,57.0,16407
1.5,4,7,4,61.8,60.0,15102
0.34,4,6,5,59.9,58.0,805
0.71,4,4,4,63.0,54.0,2443
1.02,5,3,2,59.8,58.0,4742
0.35,4,6,4,59.5,58.0,984
0.41,5,6,5,62.7,55.0,1153
0.31,3,7,6,60.5,56.0,1009
0.3,5,6,6,61.9,55.0,766
1.51,1,4,1,65.6,54.0,4167
0.54,3,4,5,64.0,59.5,1563
0.33,5,6,4,62.1,57.0,723
0.9,1,5,3,65.3,61.0,3326
1.0,4,3,4,62.6,59.0,5320
0.32,3,4,7,60.9,57.0,676
1.54,3,5,4,60.8,58.0,13735
1.83,4,2,5,61.9,57.0,13711
0.32,4,4,4,61.5,60.0,720
0.41,4,5,6,60.1,59.0,1115
0.31,5,5,4,61.9,55.0,802
0.3,2,7,3,63.1,55.0,552
2.06,4,2,5,58.4,55.0,15393
0.52,3,7,6,59.8,55.0,2426
1.7,2,4,3,58.2,64.0,11180
0.3,5,4,4,63.0,55.0,675
0.57,4,1,4,60.2,62.0,1176
0.69,4,5,3,61.2,58.0,1946
0.74,5,4,2,61.7,56.0,2690
0.26,5,5,7,62.4,56.0,769
1.0,2,6,6,63.5,55.0,8750
0.23,3,6,6,59.3,60.0,505
0.35,3,6,8,57.9,56.0,1025
0.31,4,4,6,60.5,58.0,707
0.77,5,6,3,61.0,56.0,3827
0.74,4,6,4,62.7,58.0,3285
0.63,5,2,7,62.8,58.0,2064
0.57,5,4,5,60.8,56.8,1899
0.71,5,4,2,61.1,56.0,2264
1.06,5,2,3,61.8,55.0,5697
0.7,5,4,5,61.2,56.0,3206
1.21,4,5,5,60.1,58.0,9448
0.43,2,3,7,61.2,61.0,1037
0.4,2,4,3,63.3,58.0,655
0.4,4,5,4,59.7,58.0,1080
0.72,4,7,2,60.5,58.0,2670
0.71,2,7,4,63.6,54.0,4289
1.21,4,2,4,62.6,59.0,4884
1.11,4,4,4,60.4,58.0,6445
0.32,3,3,3,63.0,59.0,461
0.71,5,4,3,62.2,56.0,2386
1.55,3,4,4,63.1,57.0,11703
0.43,3,4,3,63.1,58.0,903
0.31,5,6,4,61.0,56.0,680
0.9,3,1,5,62.6,55.0,3102
0.71,5,2,5,61.3,57.0,2525
0.7,3,5,4,62.4,57.0,2362
0.55,5,6,4,61.8,57.0,1792
1.47,3,6,4,62.4,59.0,12547
0.54,5,4,7,62.2,56.0,2236
1.51,2,3,3,61.8,62.0,9681
0.71,5,6,5,62.4,57.0,3354
0.4,5,6,6,62.1,56.0,1158
0.26,5,7,5,62.0,55.0,452
0.96,4,4,2,62.7,60.0,3215
0.38,3,5,5,62.7,57.0,883
1.22,5,2,3,62.5,56.0,5124
0.71,3,1,3,59.7,57.0,1979
0.42,5,4,3,62.0,54.0,799
1.55,5,7,3,61.7,57.0,9565
0.42,3,6,3,61.5,61.0,722
0.83,5,4,3,62.1,57.0,3044
1.01,4,3,4,62.4,58.0,4769
1.5,4,6,2,61.0,58.0,9450
1.51,5,3,3,62.4,57.0,9569
1.2,3,4,7,60.9,59.0,9139
1.24,5,7,5,61.6,55.0,12417
1.1,5,1,2,60.9,56.0,4157
1.51,1,1,2,65.1,59.0,5801
0.71,5,6,4,62.3,56.0,3026
1.19,5,3,2,61.7,56.0,4798
0.75,5,5,2,62.4,56.0,2458
0.53,5,6,5,61.5,57.0,1928
0.32,5,6,7,60.7,55.0,860
0.73,2,6,1,56.9,60.0,1628
1.01,4,6,4,60.2,58.0,6335
0.38,3,4,5,61.9,54.0,693
0.44,2,5,3,63.8,54.0,970
0.31,2,4,2,63.3,54.0,408
0.52,5,3,5,61.1,57.0,1648
0.7,4,6,4,61.1,60.0,2777
0.83,4,4,2,61.6,57.0,2749
0.9,2,3,3,64.2,59.0,3290
1.02,4,6,7,61.5,59.0,11163
1.1,5,5,1,61.3,57.0,3690
0.4,3,3,3,62.1,62.0,666
1.01,4,3,4,62.3,62.0,4769
1.5,2,3,2,64.2,56.0,7161
1.0,3,7,3,62.8,58.0,5005
0.26,5,3,5,61.9,55.0,448
0.3,5,5,8,61.3,55.0,873
0.39,3,5,8,60.8,55.0,1131
0.92,5,5,4,61.2,56.0,5805
0.57,5,6,5,61.8,55.0,2192
1.01,2,5,2,63.6,59.0,4072
0.3,2,2,3,63.8,57.0,394
0.92,2,4,4,63.4,57.0,4243
0.71,4,3,4,62.8,59.0,2181
0.35,5,4,6,61.9,57.0,676
0.51,5,3,3,62.1,55.0,1331
2.14,4,3,4,61.7,58.0,16390
1.51,3,4,5,60.2,63.0,12317
1.52,3,4,4,62.9,60.0,12038
1.24,3,1,1,61.9,55.0,2940
0.79,5,4,3,62.6,55.0,2871
0.74,5,3,3,62.1,56.0,2375
0.33,5,3,5,62.6,56.0,610
2.03,4,4,1,61.1,58.0,6377
0.54,5,2,7,62.7,57.0,1564
0.75,5,6,5,62.5,57.0,3555
0.72,5,7,3,61.8,56.0,2883
1.0,2,6,3,63.1,64.0,4435
1.13,3,4,2,60.0,61.0,4437
1.01,3,6,3,62.8,57.0,5411
0.36,4,2,4,62.7,59.0,505
0.82,5,4,3,60.7,57.0,3123
0.3,5,6,4,62.0,56.0,658
0.3,5,4,6,62.2,55.0,684
0.41,2,7,6,63.3,59.0,949
2.01,2,3,4,57.8,60.0,18561
1.3,5,3,5,61.3,59.0,8915
0.71,5,6,5,62.4,54.0,2923
1.51,4,4,3,62.3,59.0,7577
2.48,3,3,2,63.3,56.0,15746
1.06,5,5,5,61.7,57.0,8344
1.22,5,2,3,60.2,58.0,5807
0.37,5,4,3,61.4,55.0,586
0.59,1,2,5,64.4,59.0,1229
0.41,3,4,6,61.1,55.0,932
1.19,5,7,5,61.1,57.0,10079
1.29,5,3,3,63.2,57.0,6760
1.21,5,7,6,61.3,56.0,13965
1.0,5,3,2,62.0,55.0,4580
0.31,4,3,7,61.8,58.0,707
1.01,3,5,4,59.4,61.0,6288
1.09,5,6,2,62.7,55.9,6852
0.6,5,7,4,62.8,57.0,2061
0.54,3,5,4,58.2,60.0,1551
1.5,4,2,5,62.7,59.0,9900
0.51,5,4,5,61.8,57.0,1662
2.01,4,4,2,59.8,58.0,15977
0.93,2,4,5,63.8,59.0,4425
0.59,5,6,6,61.8,56.0,2515
2.19,4,2,2,60.8,60.0,15032
0.31,5,3,6,62.2,55.0,625
0.42,3,3,6,62.4,55.0,921
0.73,3,6,3,61.3,58.0,2871
0.31,5,4,6,60.9,56.0,687
1.01,3,4,4,62.4,58.0,6019
0.91,3,5,3,59.7,55.0,4279
0.7,4,6,4,62.3,59.0,2737
1.14,5,1,5,61.6,56.0,5339
0.7,4,5,4,62.4,59.0,2686
0.7,3,6,3,60.3,58.0,2239
1.22,4,3,3,61.8,57.0,6776
1.7,5,2,3,62.4,56.0,11228
1.24,4,5,2,61.4,58.0,5889
1.02,3,4,6,62.5,59.0,7724
0.3,3,3,7,62.3,56.0,626
